"Type.of.Household","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed"
"Extended Family",4,0,1,1
"Single Family",3,0,1,2
"Single Family",6,0,4,3
"Single Family",3,0,3,2
"Single Family",4,0,0,2
"Single Family",4,0,0,3
"Extended Family",5,1,0,1
"Extended Family",5,1,1,0
"Single Family",2,0,2,0
"Extended Family",6,0,0,1
"Single Family",4,1,1,1
"Single Family",7,0,3,5
"Single Family",7,1,4,2
"Extended Family",3,0,1,0
"Single Family",2,0,0,0
"Single Family",4,1,2,0
"Extended Family",5,1,1,1
"Single Family",8,1,3,1
"Extended Family",4,1,0,3
"Single Family",5,2,2,1
"Extended Family",4,0,0,2
"Single Family",4,0,1,2
"Single Family",6,1,1,1
"Single Family",5,2,1,1
"Single Family",3,0,1,1
"Single Family",3,0,1,1
"Single Family",2,0,0,0
"Extended Family",3,0,0,0
"Extended Family",6,1,1,2
"Single Family",6,0,4,0
"Single Family",2,0,0,0
"Single Family",6,1,3,2
"Single Family",2,0,0,0
"Single Family",4,2,0,1
"Single Family",5,0,2,2
"Extended Family",5,1,0,4
"Extended Family",2,0,1,0
"Single Family",6,1,1,3
"Extended Family",4,0,0,2
"Extended Family",6,0,2,2
"Single Family",4,0,1,1
"Single Family",4,0,2,2
"Extended Family",6,1,1,2
"Single Family",4,0,0,1
"Single Family",2,0,0,2
"Single Family",5,0,3,1
"Single Family",4,0,1,1
"Single Family",5,1,2,0
"Single Family",2,0,0,1
"Single Family",6,0,1,2
"Single Family",5,0,1,1
"Extended Family",10,1,3,1
"Single Family",2,0,0,0
"Extended Family",3,0,1,0
"Single Family",3,0,0,2
"Extended Family",3,0,1,2
"Extended Family",7,0,2,2
"Extended Family",2,0,0,0
"Single Family",3,0,2,1
"Extended Family",6,1,1,2
"Single Family",4,0,0,1
"Extended Family",7,0,4,1
"Single Family",2,0,1,0
"Extended Family",8,0,3,2
"Single Family",4,2,0,1
"Single Family",5,0,2,3
"Single Family",5,0,3,2
"Single Family",2,0,0,1
"Single Family",2,0,0,2
"Single Family",4,2,0,2
"Single Family",6,1,3,1
"Single Family",5,2,1,2
"Extended Family",4,0,1,3
"Extended Family",4,0,1,1
"Extended Family",7,1,3,3
"Extended Family",4,0,1,3
"Single Family",3,0,1,2
"Single Family",1,0,0,0
"Extended Family",4,1,1,2
"Extended Family",7,0,1,1
"Single Family",4,0,0,1
"Single Family",3,0,0,3
"Single Family",2,0,1,0
"Single Family",5,1,2,2
"Single Family",4,1,1,1
"Single Family",2,0,0,2
"Single Family",4,0,1,1
"Extended Family",7,0,3,1
"Extended Family",5,0,1,4
"Single Family",2,0,0,0
"Extended Family",6,0,2,1
"Single Family",2,0,0,0
"Single Family",3,0,0,2
"Single Family",2,0,0,1
"Single Family",4,0,0,3
"Single Family",2,0,0,1
"Extended Family",5,1,0,3
"Single Family",6,0,0,3
"Extended Family",2,0,1,0
"Single Family",3,0,0,0
"Single Family",7,1,1,3
"Single Family",4,0,2,0
"Single Family",3,0,2,0
"Extended Family",3,0,0,0
"Extended Family",8,2,1,1
"Extended Family",6,1,0,3
"Single Family",4,0,3,0
"Single Family",12,2,8,2
"Extended Family",7,2,1,2
"Extended Family",8,0,3,1
"Extended Family",6,0,2,1
"Extended Family",8,1,3,1
"Single Family",5,0,3,0
"Single Family",3,0,0,0
"Single Family",5,0,2,1
"Single Family",4,0,3,1
"Single Family",6,1,3,0
"Single Family",1,0,0,0
"Extended Family",3,1,0,2
"Extended Family",6,0,3,1
"Single Family",2,0,1,1
"Single Family",6,2,2,2
"Single Family",2,0,1,1
"Extended Family",4,0,2,2
"Single Family",3,0,2,0
"Single Family",3,1,1,0
"Extended Family",4,0,2,3
"Single Family",3,0,0,3
