"Total.Food.Expenditure","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure"
117848,42140,38300,24676,16806,3325,13460
67766,17329,13008,17434,11073,2035,7833
61609,34182,32001,7783,2590,1730,3795
78189,34030,28659,10914,10812,690,7887
94625,34820,30167,18391,11309,1395,11260
73326,29065,25190,15336,8572,2614,9035
104644,40992,36312,12968,12310,2565,15620
95644,37168,28156,14640,15896,3365,10520
67348,23117,15845,11464,6685,1370,5235
158721,56003,43239,26488,25678,3880,11360
79530,36588,30167,11174,7674,1709,7920
111250,46521,39217,20548,15841,1475,7565
88523,40531,36200,14322,8344,2200,6790
62262,26874,23130,10034,6971,2350,7770
45487,19668,16142,5430,6670,1860,6410
70892,30594,26788,10336,7900,1503,6819
83790,41701,36200,11226,8806,1434,6408
85370,44006,38213,9840,9317,1231,7265
64705,31984,28659,8048,7625,1625,6085
82534,27283,22503,10162,12370,2380,8190
73459,32692,28520,6638,11734,2120,6100
67830,32678,28964,7510,7746,1410,4730
164860,43076,38372,11884,15699,4510,5015
64696,30820,27150,8276,9565,1490,4535
57112,18215,16078,9562,7555,1550,4988
59819,19491,15928,12557,9245,1710,4495
45509,15843,14118,7937,9160,1470,5330
76151,29144,22565,15591,12229,2120,3990
88484,41313,36563,15018,11071,2210,5190
82647,34152,28252,12006,9480,1785,5830
59898,16761,13876,14040,14379,2140,6935
89896,29819,21515,19552,18234,1675,7112
84335,24996,19266,16800,18452,1790,11700
90927,34648,17984,18876,14960,2140,11420
110405,42271,36470,12476,17220,2295,9625
63907,19270,13870,11908,14126,2100,8295
50424,17486,13290,5796,9579,1600,4735
112070,58254,46517,11810,8847,2045,6350
91008,37629,31191,12088,12811,1265,7625
108043,41137,32816,14958,11856,1240,7015
96915,36695,30316,15101,6736,2110,7140
73997,26868,19651,9937,8706,1880,4065
78073,38561,31772,8324,5210,2190,12510
98445,29979,25713,23704,8417,1775,6350
99064,20355,16226,29084,15827,2200,5930
85448,35920,29684,8002,7907,1300,5270
83528,32136,27872,12686,7479,1775,6090
98107,36213,30861,16505,8884,1930,7710
59255,19431,16060,18464,9509,1940,4330
131485,46235,36272,30450,14452,2360,8720
95406,25378,19254,14050,10974,1195,5850
229370,98241,82536,46818,19718,3180,9555
64202,20938,15928,15204,12031,1810,7027
96601,27303,19910,25452,16129,1865,7125
75031,21286,18100,25542,11433,1760,5890
67121,24404,20091,12474,9405,1445,6350
181926,47508,41268,36464,24387,2710,9885
56971,20468,16036,11174,7412,1500,3900
60160,23470,15984,8195,7778,1170,6060
88966,41950,38010,12101,9600,1460,5130
172404,36637,30060,61482,25812,3430,8660
88017,43094,38102,7039,7233,1710,5690
51139,19999,17076,6530,6896,1480,4510
127743,49902,44117,18616,9390,2460,9980
65989,31888,27706,8885,7719,2300,7095
102906,44135,38734,15810,7427,2040,5665
87743,41207,35999,11649,11688,2530,6539
59310,25390,21694,8073,7887,1820,7732
62023,26806,21468,9174,7091,1410,6635
104427,33631,25356,9303,14685,2323,7862
110631,40476,31977,8840,9878,1550,7251
81985,31837,27567,10385,9131,2130,6015
108109,50073,36779,14649,15119,2815,7641
96505,40091,26531,10822,12136,2340,9261
91575,38181,30368,9279,10968,1440,7387
90942,42158,34222,12892,8595,2540,7161
90669,42961,36501,13902,7955,2770,5520
29066,13956,12168,3621,3878,1005,3208
78662,36893,25557,10224,10718,1870,6878
155045,68989,43365,21917,14842,2785,7134
84355,40301,34457,12906,7832,1210,6743
69946,31880,26817,10713,8864,1660,5846
72478,35810,28156,10489,7593,1355,5958
100518,44554,30167,15818,6717,1895,5128
60543,27886,24198,8762,7836,1715,3717
49085,21285,15957,7087,6419,1150,4671
72244,32849,29262,9961,9404,1810,6392
110462,42990,36500,23506,14452,1370,11205
164802,48480,35476,54002,19782,3025,17513
79540,22972,17267,10892,23187,2270,10184
77667,30999,25481,10508,7648,1480,12896
53517,20179,14618,7923,7620,1220,9688
86841,31910,24149,15165,11335,1135,8195
62562,30508,28402,8590,9643,1170,6240
