"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
3000,0,0,4607,63636,3457,4776,2880,36200,34056,7200
2360,960,2132,8230,41370,3520,12900,5700,29300,9150,1500
4545,270,4525,2735,14340,70,324,420,425,6450,500
6280,480,0,1390,16638,60,6840,660,300,3762,500
6400,1040,0,4620,31122,140,6996,2100,0,8472,1000
0,180,240,1930,22782,95,4044,1500,0,5394,600
6200,1920,0,7930,24126,340,12696,1848,0,6126,6400
1130,480,0,4085,40776,75,4140,3000,50,5562,1500
10550,0,0,2780,8370,200,7200,1800,8000,6510,500
15620,0,0,7740,65730,1786,5160,7200,13180,15210,4000
2590,1268,910,5610,25668,49,3678,1080,750,7134,1500
3320,2080,1820,8230,16398,123,2940,5520,250,9858,5500
3850,1040,0,6140,11130,89,480,1500,960,5148,0
300,0,0,2149,35154,78,14628,1200,0,5130,2000
0,0,0,395,24180,77,960,0,0,2202,0
3320,0,0,5045,22920,121,1980,264,375,5310,1000
1751,1208,910,1105,18552,80,1440,420,470,6834,1000
2755,0,780,1640,16698,61,1680,1080,350,11364,2000
0,520,0,3610,20100,147,1500,660,0,4674,1000
4520,1820,0,2060,11550,1445,7440,840,215,3768,1500
5750,1280,2715,6390,19410,610,8010,1320,8060,4428,1500
4520,960,780,2030,14556,50,7200,1200,800,3924,1000
11740,570,0,7540,15222,102,9000,1080,5960,5826,2000
2310,390,0,4905,12990,570,1560,660,200,3492,3000
5820,820,1606,3610,22350,160,9480,840,225,3468,2000
3645,1440,0,3380,15858,140,4380,1260,150,3930,2000
0,0,0,2560,16368,85,960,0,0,3384,0
0,390,0,3920,38100,420,9000,1080,0,4506,2000
4285,1092,1280,2860,10638,266,7020,420,200,4518,1700
7120,1170,0,7920,12300,180,13920,1320,3000,5304,2000
0,0,0,2460,10110,267,960,0,0,2490,0
3390,1638,780,4625,13110,250,2460,540,760,5748,2500
0,910,0,3370,12420,215,3300,480,0,4572,2500
0,1040,0,3835,12852,2600,2160,900,0,4212,1500
13500,1170,0,5990,15030,150,14280,1080,14800,6336,2500
200,1390,0,4640,11832,160,13920,1320,0,6864,10000
3410,0,0,1730,17910,4229,4230,420,0,5982,0
8360,456,0,5790,14700,3700,10620,1560,11900,6132,2000
7450,2928,1629,2930,13026,120,13860,1320,380,7182,1644
17800,252,0,6800,15420,2250,16200,1560,5100,6882,1500
18330,0,0,3650,15960,200,11700,3300,7000,5892,2500
